imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
No_code,Avengers: Endgame,2019,Apr,23.0,400000000,858373000,2797800564,2397800564,599.4501409999998,30.680278324513196
No_code,Pirates of the Caribbean: On Stranger Tides,2011,May,20.0,379000000,241071802,1045713802,666713802,175.9139319261214,23.053325062644625
No_code,Avengers: Age of Ultron,2015,Apr,22.0,365000000,459005868,1395316979,1030316979,282.27862438356163,32.89617161606976
No_code,Star Wars Ep. VII: The Force Awakens,2015,Dec,16.0,306000000,936662225,2064615817,1758615817,574.7110513071897,45.36738589753815
No_code,Avengers: Infinity War,2018,Apr,25.0,300000000,678815482,2044540523,1744540523,581.5135076666667,33.20137088816214
No_code,Pirates of the Caribbean: At World’s End,2007,May,24.0,300000000,309420425,960996492,660996492,220.332164,32.19787247672908
No_code,Justice League,2017,Nov,13.0,300000000,229024295,655945209,355945209,118.648403,34.91515630537977
No_code,Spectre,2015,Oct,6.0,300000000,200074175,879500760,579500760,193.16692,22.748607403136297
No_code,Star Wars: The Rise of Skywalker,2019,Dec,18.0,275000000,515202542,1072848487,797848487,290.12672254545464,48.021929307152945
No_code,Solo: A Star Wars Story,2018,May,23.0,275000000,213767512,393151347,118151347,42.96412618181819,54.37282960650774
No_code,John Carter,2012,Mar,7.0,263700000,73058679,282778100,19078100,7.234774364808495,25.8360456485138
No_code,Batman v Superman: Dawn of Justice,2016,Mar,23.0,263000000,330360194,872395091,609395091,231.7091600760456,37.868185803443495
No_code,The Lion King,2019,Jul,11.0,260000000,543638043,1654367425,1394367425,536.2951634615384,32.86078018611857
No_code,Tangled,2010,Nov,24.0,260000000,200821936,584899819,324899819,124.96146884615385,34.33441582241283
No_code,Spider-Man 3,2007,May,4.0,258000000,336530303,894860230,636860230,246.8450503875969,37.607024171808376
No_code,Captain America: Civil War,2016,Apr,22.0,250000000,408084349,1151918521,901918521,360.76740839999997,35.42649428413869
No_code,Harry Potter and the Half-Blood Prince,2009,Jul,15.0,250000000,302089278,930673167,680673167,272.2692668,32.45922292718256
No_code,The Hobbit: The Desolation of Smaug,2013,Dec,12.0,250000000,258241522,959358436,709358436,283.7433744,26.918147827700967
No_code,The Hobbit: The Battle of the Five Armies,2014,Dec,10.0,250000000,255119788,941560732,691560732,276.62429280000003,27.095415019920353
No_code,The Fate of the Furious,2017,Apr,7.0,250000000,225764765,1236703796,986703796,394.6815184,18.25536282254607
No_code,No Time to Die,2021,Sep,30.0,250000000,0,457,-249999543,-99.9998172,0.0
No_code,Avatar,2009,Dec,17.0,237000000,760507625,2845899541,2608899541,1100.801494092827,26.722925881381283
No_code,Superman Returns,2006,Jun,28.0,232000000,200120000,391081192,159081192,68.56947931034483,51.17095991668146
No_code,The Dark Knight Rises,2012,Jul,19.0,230000000,448139099,1082228107,852228107,370.5339595652173,41.408931823279644
No_code,Pirates of the Caribbean: Dead Men Tell No Tales,2017,May,23.0,230000000,172558876,794861794,564861794,245.59208434782607,21.709293024593407
No_code,Quantum of Solace,2008,Nov,14.0,230000000,169368427,591692078,361692078,157.25742521739133,28.624420251237503
No_code,The Avengers,2012,Apr,25.0,225000000,623357910,1515100211,1290100211,573.3778715555555,41.14301519294026
No_code,Pirates of the Caribbean: Dead Man’s Chest,2006,Jul,6.0,225000000,423315812,1066179725,841179725,373.8576555555555,39.70398255322291
No_code,Man of Steel,2013,Jun,14.0,225000000,291045518,667999518,442999518,196.88867466666667,43.56971976138462
No_code,The Chronicles of Narnia: Prince Caspian,2008,May,16.0,225000000,141621490,417341288,192341288,85.48501688888891,33.934215011096626
No_code,The Lone Ranger,2013,Jul,2.0,225000000,89302115,260002115,35002115,15.556495555555555,34.34668791059641
No_code,The Amazing Spider-Man,2012,Jun,27.0,220000000,262030663,757890267,537890267,244.4955759090909,34.57369416250862
No_code,Battleship,2012,Apr,11.0,220000000,65233400,313477717,93477717,42.48987136363636,20.809581179896114
No_code,Transformers: The Last Knight,2017,Jun,20.0,217000000,130168683,602893340,385893340,177.83103225806454,21.59066527422579
No_code,Jurassic World,2015,Jun,9.0,215000000,652306625,1669979967,1454979967,676.7348683720929,39.06074551132625
No_code,Men in Black 3,2012,May,23.0,215000000,179020854,654213485,439213485,204.28534186046508,27.364286751135978
No_code,Transformers: Revenge of the Fallen,2009,Jun,24.0,210000000,402111870,836519699,626519699,298.3427138095238,48.069623522398366
