imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
tt4154796,Avengers: Endgame,2019,Apr,23,400000000,858373000,2797800564,2397800564,599.4501409999998,30.680278324513196
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,May,20,379000000,241071802,1045713802,666713802,175.9139319261214,23.053325062644625
tt2395427,Avengers: Age of Ultron,2015,Apr,22,365000000,459005868,1395316979,1030316979,282.27862438356163,32.89617161606976
tt2488496,Star Wars Ep. VII: The Force Awakens,2015,Dec,16,306000000,936662225,2064615817,1758615817,574.7110513071897,45.36738589753815
tt4154756,Avengers: Infinity War,2018,Apr,25,300000000,678815482,2044540523,1744540523,581.5135076666667,33.20137088816214
tt0449088,Pirates of the Caribbean: At World’s End,2007,May,24,300000000,309420425,960996492,660996492,220.332164,32.19787247672908
tt0974015,Justice League,2017,Nov,13,300000000,229024295,655945209,355945209,118.648403,34.91515630537977
tt2379713,Spectre,2015,Oct,6,300000000,200074175,879500760,579500760,193.16692,22.748607403136297
tt11464830,Star Wars: The Rise of Skywalker,2019,Dec,18,275000000,515202542,1072848487,797848487,290.12672254545464,48.021929307152945
tt3778644,Solo: A Star Wars Story,2018,May,23,275000000,213767512,393151347,118151347,42.96412618181819,54.37282960650774
tt0401729,John Carter,2012,Mar,7,263700000,73058679,282778100,19078100,7.234774364808495,25.8360456485138
tt2975590,Batman v Superman: Dawn of Justice,2016,Mar,23,263000000,330360194,872395091,609395091,231.7091600760456,37.868185803443495
tt6105098,The Lion King,2019,Jul,11,260000000,543638043,1654367425,1394367425,536.2951634615384,32.86078018611857
tt0398286,Tangled,2010,Nov,24,260000000,200821936,584899819,324899819,124.96146884615385,34.33441582241283
tt0413300,Spider-Man 3,2007,May,4,258000000,336530303,894860230,636860230,246.8450503875969,37.607024171808376
tt3498820,Captain America: Civil War,2016,Apr,22,250000000,408084349,1151918521,901918521,360.76740839999997,35.42649428413869
tt0417741,Harry Potter and the Half-Blood Prince,2009,Jul,15,250000000,302089278,930673167,680673167,272.2692668,32.45922292718256
tt1170358,The Hobbit: The Desolation of Smaug,2013,Dec,12,250000000,258241522,959358436,709358436,283.7433744,26.918147827700967
tt2310332,The Hobbit: The Battle of the Five Armies,2014,Dec,10,250000000,255119788,941560732,691560732,276.62429280000003,27.095415019920353
tt4630562,The Fate of the Furious,2017,Apr,7,250000000,225764765,1236703796,986703796,394.6815184,18.25536282254607
tt0499549,Avatar,2009,Dec,17,237000000,760507625,2845899541,2608899541,1100.801494092827,26.722925881381283
tt1345836,The Dark Knight Rises,2012,Jul,19,230000000,448139099,1082228107,852228107,370.5339595652173,41.408931823279644
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,May,23,230000000,172558876,794861794,564861794,245.59208434782607,21.709293024593407
tt0830515,Quantum of Solace,2008,Nov,14,230000000,169368427,591692078,361692078,157.25742521739133,28.624420251237503
tt0848228,The Avengers,2012,Apr,25,225000000,623357910,1515100211,1290100211,573.3778715555555,41.14301519294026
tt0770828,Man of Steel,2013,Jun,14,225000000,291045518,667999518,442999518,196.88867466666667,43.56971976138462
tt0499448,The Chronicles of Narnia: Prince Caspian,2008,May,16,225000000,141621490,417341288,192341288,85.48501688888891,33.934215011096626
tt1210819,The Lone Ranger,2013,Jul,2,225000000,89302115,260002115,35002115,15.556495555555555,34.34668791059641
tt0948470,The Amazing Spider-Man,2012,Jun,27,220000000,262030663,757890267,537890267,244.4955759090909,34.57369416250862
tt1440129,Battleship,2012,Apr,11,220000000,65233400,313477717,93477717,42.48987136363636,20.809581179896114
tt3371366,Transformers: The Last Knight,2017,Jun,20,217000000,130168683,602893340,385893340,177.83103225806454,21.59066527422579
tt0369610,Jurassic World,2015,Jun,9,215000000,652306625,1669979967,1454979967,676.7348683720929,39.06074551132625
tt1409024,Men in Black 3,2012,May,23,215000000,179020854,654213485,439213485,204.28534186046508,27.364286751135978
tt1055369,Transformers: Revenge of the Fallen,2009,Jun,24,210000000,402111870,836519699,626519699,298.3427138095238,48.069623522398366
tt2109248,Transformers: Age of Extinction,2014,Jun,25,210000000,245439076,1104054072,894054072,425.74003428571433,22.23071154072969
tt4532826,Robin Hood,2010,May,14,210000000,105487148,322459006,112459006,53.55190761904761,32.713351476373404
tt0385752,The Golden Compass,2007,Dec,7,205000000,70107728,367262558,162262558,79.15246731707316,19.08926637710779
tt6723592,Tenet,2020,Aug,26,205000000,57929000,361875852,156875852,76.52480585365853,16.007976127680386
tt1825683,Black Panther,2018,Feb,13,200000000,700059566,1336494321,1136494321,568.2471605000002,52.3802873682394
tt2527336,Star Wars Ep. VIII: The Last Jedi,2017,Dec,13,200000000,620181382,1331635141,1131635141,565.8175705,46.57292098301572
tt3606756,Incredibles 2,2018,Jun,15,200000000,608581744,1242805359,1042805359,521.4026795,48.96838749469861
tt6323140,Rogue One: A Star Wars Story,2016,Dec,14,200000000,532177324,1055135598,855135598,427.567799,50.43686565108193
tt2277860,Finding Dory,2016,Jun,16,200000000,486295561,1025006125,825006125,412.5030625,47.44318586388936
tt1979376,Toy Story 4,2019,Jun,20,200000000,434038008,1073080329,873080329,436.5401645,40.44785802797062
tt0435761,Toy Story 3,2010,Jun,18,200000000,415004880,1068879522,868879522,434.439761,38.826160615695656
tt3107386,Iron Man 3,2013,Apr,24,200000000,408992272,1215392272,1015392272,507.696136,33.651050892974574
tt3896198,Guardians of the Galaxy Vol 2,2017,Apr,28,200000000,389813101,869113101,669113101,334.5565505,44.851826597882564
tt1014759,Alice in Wonderland,2010,Mar,4,200000000,334191110,1025491110,825491110,412.74555499999997,32.58839659760678
tt1074638,Skyfall,2012,Oct,26,200000000,304360277,1110526981,910526981,455.26349050000016,27.406833170854767
tt0903624,The Hobbit: An Unexpected Journey,2012,Dec,11,200000000,303003568,1014938545,814938545,407.4692725,29.854375862727732
tt1453405,Monsters University,2013,Jun,21,200000000,268488329,743455810,543455810,271.72790499999996,36.113555827884376
tt1623205,Oz the Great and Powerful,2013,Mar,8,200000000,234770996,490359051,290359051,145.17952549999995,47.87736568158096
tt1877832,X-Men: Days of Future Past,2014,May,21,200000000,233921534,747862775,547862775,273.9313875,31.278670609056586
tt1872181,The Amazing Spider-Man 2,2014,Apr,16,200000000,202853933,708996336,508996336,254.498168,28.61142190726357
tt1216475,Cars 2,2011,Jun,23,200000000,191450875,560155383,360155383,180.0776915,34.1781728445873
tt3480822,Black Widow,2021,Jul,7,200000000,183385207,370334457,170334457,85.16722850000002,49.51880753564339
tt11638654,Fast & Furious Presents: Hobbs & Shaw,2019,Jul,31,200000000,173956935,760381706,560381706,280.190853,22.87758025046436
tt8647300,Tron: Legacy,2010,Dec,17,200000000,172062763,399866199,199866199,99.9330995,43.03008442081398
tt1190080,2012,2009,Nov,12,200000000,166112167,757677748,557677748,278.83887400000003,21.923854493348536
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018,Nov,14,200000000,159555901,651280475,451280475,225.6402375,24.49879999857205
tt0438488,Terminator Salvation,2009,May,21,200000000,125322469,365491792,165491792,82.745896,34.288723233489186
tt1133985,Green Lantern,2011,Jun,17,200000000,116601172,219535492,19535492,9.767746,53.11267482890648
tt0473075,Prince of Persia: Sands of Time,2010,May,28,200000000,90759676,336359676,136359676,68.179838,26.982924076785
tt6565702,Dark Phoenix,2019,Jun,5,200000000,65845974,246356895,46356895,23.1784475,26.72787948557316
tt1399103,Transformers: Dark of the Moon,2011,Jun,29,195000000,352390543,1123794079,928794079,476.3046558974359,31.35721655639725
tt2345759,The Mummy,2017,Jun,2,195000000,80101125,409953905,214953905,110.2327717948718,19.539056470263407
tt1351685,Jack the Giant Slayer,2013,Feb,27,195000000,65187603,197687603,2687603,1.3782579487179487,32.97505863329225
tt2820852,Furious 7,2015,Apr,1,190000000,353007020,1516881526,1326881526,698.3586978947368,23.271891307877922
tt1408101,Star Trek Into Darkness,2013,May,16,190000000,228778661,467381584,277381584,145.99030736842104,48.94901057975789
tt0816711,World War Z,2013,Jun,19,190000000,202706711,531861650,341861650,179.92718421052632,38.112676670709384
tt1343092,The Great Gatsby,2013,May,10,190000000,144840419,353640419,163640419,86.12653631578947,40.95697528285079
tt1663662,Pacific Rim,2013,Jul,11,190000000,101802906,411002906,221002906,116.3173189473684,24.769388370212642
tt1979388,The Good Dinosaur,2015,Nov,25,187500000,123087120,333771037,146271037,78.01121973333333,36.87771147141206
tt0371746,Iron Man,2008,May,2,186000000,318604126,585171547,399171547,214.60835860215056,54.44627778527311
tt0468569,The Dark Knight,2008,Jul,11,185000000,533720947,999046281,814046281,440.0250167567568,53.42304527331502
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,May,22,185000000,317101119,786635413,601635413,325.2083313513514,40.31106580755982
tt1217209,Brave,2012,Jun,21,185000000,237282182,554606532,369606532,199.78731459459462,42.7838779944265
tt3731562,Kong: Skull Island,2017,Feb,23,185000000,168052812,561072059,376072059,203.28219405405412,29.9520906992804
tt2660888,Star Trek Beyond,2016,Jul,21,185000000,158848340,335673708,150673708,81.44524756756758,47.32224663839325
tt4777008,Maleficent: Mistress of Evil,2019,Oct,17,185000000,113929605,489346495,304346495,164.51161891891894,23.28199060667636
tt1856101,Blade Runner 2049,2017,Sep,29,185000000,92054159,259238971,74238971,40.12917351351352,35.50938296233247
tt6450804,Terminator: Dark Fate,2019,Oct,25,185000000,62253077,250372367,65372367,35.3364145945946,24.86419637515349
tt6139732,Aladdin,2019,May,22,182000000,355559216,1046649706,864649706,475.08225604395625,33.97117621700264
tt3501632,Thor: Ragnarok,2017,Oct,25,180000000,315058289,850482778,670482778,372.49043222222224,37.044640661730135
tt1587310,Maleficent,2014,May,28,180000000,241407328,758536735,578536735,321.40929722222216,31.8253970916781
tt3183660,Fantastic Beasts and Where to Find Them,2016,Nov,14,180000000,234037575,811724385,631724385,350.95799166666666,28.832147872457966
tt0910970,WALL-E,2008,Jun,27,180000000,223808164,532508025,352508025,195.83779166666665,42.02906876379938
tt0293564,Rush Hour 3,2007,Aug,10,180000000,140125968,256585882,76585882,42.547712222222216,54.61172177820758
tt0918940,The Legend of Tarzan,2016,Jun,27,180000000,126643061,348902025,168902025,93.83445833333332,36.29759987778804
tt0970179,Hugo,2011,Nov,23,180000000,73864507,180047784,47784,0.026546666666666663,41.02494646643361
