title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Avengers: Endgame,2019,Apr,23,400000000,858373000,2797800564
Pirates of the Caribbean: On Stranger Tides,2011,May,20,379000000,241071802,1045713802
Avengers: Age of Ultron,2015,Apr,22,365000000,459005868,1395316979
Star Wars Ep. VII: The Force Awakens,2015,Dec,16,306000000,936662225,2064615817
Avengers: Infinity War,2018,Apr,25,300000000,678815482,2044540523
Pirates of the Caribbean: At World’s End,2007,May,24,300000000,309420425,960996492
Justice League,2017,Nov,13,300000000,229024295,655945209
Spectre,2015,Oct,6,300000000,200074175,879500760
Star Wars: The Rise of Skywalker,2019,Dec,18,275000000,515202542,1072848487
Solo: A Star Wars Story,2018,May,23,275000000,213767512,393151347
John Carter,2012,Mar,7,263700000,73058679,282778100
Batman v Superman: Dawn of Justice,2016,Mar,23,263000000,330360194,872395091
The Lion King,2019,Jul,11,260000000,543638043,1654367425
Tangled,2010,Nov,24,260000000,200821936,584899819
Spider-Man 3,2007,May,4,258000000,336530303,894860230
Captain America: Civil War,2016,Apr,22,250000000,408084349,1151918521
Harry Potter and the Half-Blood Prince,2009,Jul,15,250000000,302089278,930673167
The Hobbit: The Desolation of Smaug,2013,Dec,12,250000000,258241522,959358436
The Hobbit: The Battle of the Five Armies,2014,Dec,10,250000000,255119788,941560732
The Fate of the Furious,2017,Apr,7,250000000,225764765,1236703796
No Time to Die,2021,Sep,29,250000000,62163483,318798176
Avatar,2009,Dec,17,237000000,760507625,2845899541
Superman Returns,2006,Jun,28,232000000,200120000,391081192
The Dark Knight Rises,2012,Jul,19,230000000,448139099,1082228107
Pirates of the Caribbean: Dead Men Tell No Tales,2017,May,23,230000000,172558876,794861794
Quantum of Solace,2008,Nov,14,230000000,169368427,591692078
The Avengers,2012,Apr,25,225000000,623357910,1515100211
Pirates of the Caribbean: Dead Man’s Chest,2006,Jul,6,225000000,423315812,1066179725
Man of Steel,2013,Jun,14,225000000,291045518,667999518
The Chronicles of Narnia: Prince Caspian,2008,May,16,225000000,141621490,417341288
The Lone Ranger,2013,Jul,2,225000000,89302115,260002115
The Amazing Spider-Man,2012,Jun,27,220000000,262030663,757890267
Battleship,2012,Apr,11,220000000,65233400,313477717
